-20.3125,20.703125
-19.921875,20.3125
-18.75,20.3125
-18.359375,20.703125
-18.75,21.484375
-17.96875,22.265625
-17.1875,22.65625
-16.796875,23.046875
-16.015625,23.046875
-15.625,23.4375
-13.28125,23.4375
-12.890625,23.828125
-12.109375,23.828125
-10.9375,22.65625
-9.375,22.65625
-8.984375,22.265625
-6.25,22.265625
-5.859375,22.65625
-4.296875,21.875
-3.90625,21.484375
-3.125,21.484375
-1.5625,20.3125
-1.171875,19.921875
-0.390625,19.53125
-0.390625,15.625
1.171875,14.0625
1.953125,13.671875
3.125,14.0625
3.90625,14.0625
4.296875,13.671875
5.078125,13.671875
5.859375,12.890625
8.59375,12.5
8.984375,12.890625
10.15625,11.71875
11.328125,11.71875
12.5,10.546875
12.109375,9.375
12.5,7.03125
14.453125,5.078125
14.84375,4.296875
15.234375,3.90625
16.015625,3.515625
16.40625,3.125
17.96875,1.5625
18.359375,0.390625
18.75,-0.390625
19.140625,-0.78125
19.140625,-3.125
18.75,-3.515625
19.53125,-5.078125
20.703125,-6.25
21.09375,-7.421875
21.09375,-8.59375
21.484375,-8.984375
21.484375,-10.546875
21.09375,-10.9375
21.484375,-11.71875
22.265625,-12.5
22.265625,-15.234375
21.875,-15.625
21.875,-16.40625
20.703125,-17.578125
20.703125,-18.75
19.921875,-19.921875
